block_id,trip_id,trip_idx,start_time,end_time,soc,chg_site,chg_time,dh1,dh2,dh3
36457198,FB_A5-Weekday-SDon-038400_SB44_612,1,65848704.0,65848743.0,472.85635177128654,,,,,
36457198,FB_A5-Weekday-SDon-043800_SB44_612,2,65848758.0,65848805.0,374.18764559430605,,,,,
36457198,FB_A5-Weekday-SDon-049700_SB44_612,3,65848817.0,65848868.0,352.0264758530858,,,,,
36457198,FB_A5-Weekday-SDon-056000_SB44_612,4,65848880.0,65848927.0,329.0941678753019,,,,,
36457198,FB_A5-Weekday-SDon-061600_SB44_612,5,65848936.0,65848981.0,308.327607137181,,,,,
36457198,FB_A5-Weekday-SDon-067300_SB44_612,6,65848993.0,65849040.0,286.802549188914,,,,,
36457198,FB_A5-Weekday-SDon-074400_SB44_613,7,65849064.0,65849108.0,266.03598845079307,,,,,
36457198,FB_A5-Weekday-SDon-080600_SB44_613,8,65849126.0,65849181.0,244.51093050252604,,,,,
36457198,FB_A5-Weekday-SDon-087900_SB44_633,9,65849199.0,65849252.0,222.3497607613058,,,,,
36457198,FB_A5-Weekday-SDon-094900_SB44_633,10,65849269.0,65849324.0,199.4174527835219,,,,,
36457198,FB_A5-Weekday-SDon-101600_SB44_633,11,65849336.0,65849386.0,178.650892045401,Williamsburg Bridge Plaza Bus Termina,4.6245,11.728,2.6475,0.2883716594157862
36457198,FB_A5-Weekday-SDon-108500_SB44_633,12,65849405.0,65849455.0,177.15250516612093,,,,,
36457207,FB_A5-Weekday-SDon-043900_SB44_621,1,65848759.0,65848825.0,468.48235550031075,,,,,
36457207,FB_A5-Weekday-SDon-051500_SB44_621,2,65848835.0,65848900.0,358.4704278596022,,,,,
36457207,FB_A5-Weekday-SDon-059500_SB44_621,3,65848915.0,65848977.0,330.4449891780423,Williamsburg Bridge Plaza Bus Termina,6.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457207,FB_A5-Weekday-SDon-067400_SB44_603,4,65848994.0,65849057.0,341.2025853098633,,,,,
36457207,FB_A5-Weekday-SDon-075900_SB44_603,5,65849079.0,65849140.0,313.17714662830343,Williamsburg Bridge Plaza Bus Termina,8.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457207,FB_A5-Weekday-SDon-083900_SB44_625,6,65849159.0,65849227.0,338.93474276012444,,,,,
36457207,FB_A5-Weekday-SDon-092400_SB44_636,7,65849244.0,65849313.0,310.90930407856456,,,,,
36457207,FB_A5-Weekday-SDon-100800_SB44_636,8,65849328.0,65849397.0,282.41502093754536,,,,,
36457207,FB_A5-Weekday-SDon-108800_SB44_638,9,65849408.0,65849470.0,254.38958225598543,Williamsburg Bridge Plaza Bus Termina,5.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457207,FB_A5-Weekday-SDon-116600_SB44_638,10,65849486.0,65849549.0,257.64717838780643,,,,,
