block_id,trip_id,trip_idx,start_time,end_time,soc,chg_site,chg_time,dh1,dh2,dh3
36457192,FB_A5-Weekday-SDon-035800_SB44_606,1,65848678.0,65848728.0,568.4823555003107,Williamsburg Bridge Plaza Bus Termina,7.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457192,FB_A5-Weekday-SDon-042600_SB44_606,2,65848746.0,65848804.0,505.22230713244255,,,,,
36457192,FB_A5-Weekday-SDon-049700_SB44_606,3,65848817.0,65848883.0,477.1968684508826,,,,,
36457192,FB_A5-Weekday-SDon-057400_SB44_606,4,65848894.0,65848957.0,448.70258530986337,,,,,
36457192,FB_A5-Weekday-SDon-065500_SB44_609,5,65848975.0,65849036.0,420.67714662830343,Williamsburg Bridge Plaza Bus Termina,7.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
36457192,FB_A5-Weekday-SDon-073400_SB44_609,6,65849054.0,65849117.0,438.93474276012455,,,,,
36457192,FB_A5-Weekday-SDon-080800_SB44_609,7,65849128.0,65849193.0,410.9093040785646,,,,,
36457192,FB_A5-Weekday-SDon-088500_SB44_621,8,65849205.0,65849280.0,382.41502093754536,,,,,
36457192,FB_A5-Weekday-SDon-097200_SB44_621,9,65849292.0,65849361.0,354.3895822559855,,,,,
36457192,FB_A5-Weekday-SDon-105700_SB44_621,10,65849377.0,65849444.0,325.8952991149663,,,,,
36457192,FB_A5-Weekday-SDon-113900_SB44_621,11,65849459.0,65849521.0,297.86986043340636,,,,,
36457192,FB_A5-Weekday-SDon-121600_SB44_643,12,65849536.0,65849597.0,269.3755772923871,,,,,
36457192,FB_A5-Weekday-SDon-129200_SB44_643,13,65849612.0,65849668.0,241.35013861082723,,,,,
36457192,FB_A5-Weekday-SDon-136100_SB44_643,14,65849681.0,65849733.0,212.85585546980798,,,,,
36457199,FB_A5-Weekday-SDon-039100_SB44_613,1,65848711.0,65848767.0,568.4823555003107,,,,,
36457199,FB_A5-Weekday-SDon-045900_SB44_613,2,65848779.0,65848840.0,458.4704278596022,,,,,
36457199,FB_A5-Weekday-SDon-053500_SB44_613,3,65848855.0,65848921.0,430.4449891780423,,,,,
36457199,FB_A5-Weekday-SDon-061400_SB44_613,4,65848934.0,65848997.0,401.950706037023,,,,,
36457199,FB_A5-Weekday-SDon-069100_SB44_618,5,65849011.0,65849072.0,373.92526735546306,Williamsburg Bridge Plaza Bus Termina,8.7085,9.091666666666667,1.1998333333333333,0.005717837165941578
