block_id,trip_id,trip_idx,start_time,end_time,soc,chg_site,chg_time,dh1,dh2,dh3
36880070,CS_A5-Weekday-SDon-055400_SBS44_921,3,65848874.0,65848959.0,373.12420608118634,Fordham Plaza,7.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880070,CS_A5-Weekday-SDon-065900_SBS44_917,4,65848979.0,65849068.0,377.81951093814166,,,,,
36880070,CS_A5-Weekday-SDon-077000_SBS44_931,5,65849090.0,65849178.0,335.09251408903515,,,,,
36880070,CS_A5-Weekday-SDon-087300_SBS44_931,6,65849193.0,65849293.0,294.3619418484144,,,,,
36880070,CS_A5-Weekday-SDon-098900_SBS44_962,7,65849309.0,65849402.0,251.6349449993079,,,,,
36880070,CS_A5-Weekday-SDon-109900_SBS44_962,8,65849419.0,65849505.0,210.90437275868712,,,,,
36880070,CS_A5-Weekday-SDon-120300_SBS44_958,9,65849523.0,65849597.0,168.1773759095806,Fordham Plaza,7.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880070,CS_A5-Weekday-SDon-129700_SBS44_958,10,65849617.0,65849689.0,172.87268076653595,,,,,
36880073,CS_A5-Weekday-SDon-036600_SBS44_924,1,65848686.0,65848761.0,488.0779490366687,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880073,CS_A5-Weekday-SDon-045900_SBS44_924,2,65848779.0,65848872.0,415.85120293029286,,,,,
36880073,CS_A5-Weekday-SDon-057000_SBS44_924,3,65848890.0,65848975.0,373.12420608118634,Fordham Plaza,7.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880073,CS_A5-Weekday-SDon-067500_SBS44_946,4,65848995.0,65849084.0,377.81951093814166,,,,,
36880073,CS_A5-Weekday-SDon-078600_SBS44_946,5,65849106.0,65849198.0,335.09251408903515,Fordham Plaza,3.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880073,CS_A5-Weekday-SDon-089400_SBS44_946,6,65849214.0,65849314.0,309.7878189459906,,,,,
36880073,CS_A5-Weekday-SDon-101300_SBS44_964,7,65849333.0,65849426.0,267.06082209688407,,,,,
36880073,CS_A5-Weekday-SDon-112100_SBS44_964,8,65849441.0,65849528.0,226.33024985626326,,,,,
36880073,CS_A5-Weekday-SDon-122100_SBS44_960,9,65849541.0,65849615.0,183.60325300715675,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880073,CS_A5-Weekday-SDon-131300_SBS44_960,10,65849633.0,65849705.0,173.29855786411213,,,,,
36880075,CS_A5-Weekday-SDon-037200_SBS44_926,1,65848692.0,65848767.0,488.0779490366687,,,,,
36880075,CS_A5-Weekday-SDon-046500_SBS44_926,2,65848785.0,65848878.0,385.4253258327167,,,,,
36880075,CS_A5-Weekday-SDon-057800_SBS44_926,3,65848898.0,65848984.0,342.69832898361017,Fordham Plaza,6.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880075,CS_A5-Weekday-SDon-068300_SBS44_934,4,65849003.0,65849092.0,339.89363384056554,,,,,
36880075,CS_A5-Weekday-SDon-079300_SBS44_934,5,65849113.0,65849205.0,297.16663699145903,,,,,
36880075,CS_A5-Weekday-SDon-090100_SBS44_934,6,65849221.0,65849323.0,256.4360647508383,,,,,
36880075,CS_A5-Weekday-SDon-102100_SBS44_965,7,65849341.0,65849429.0,213.70906790173174,,,,,
36880075,CS_A5-Weekday-SDon-112900_SBS44_965,8,65849449.0,65849533.0,172.97849566111097,,,,,
36880076,CS_A5-Weekday-SDon-034400_SBS44_925,1,65848664.0,65848700.0,510.01288999378494,,,,,
36880076,CS_A5-Weekday-SDon-039400_SBS44_925,2,65848714.0,65848808.0,446.2959633868045,,,,,
36880076,CS_A5-Weekday-SDon-050300_SBS44_925,3,65848823.0,65848907.0,403.568966537698,Fordham Plaza,3.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880076,CS_A5-Weekday-SDon-060300_SBS44_925,4,65848923.0,65849012.0,378.2642713946533,,,,,
36880076,CS_A5-Weekday-SDon-071400_SBS44_916,5,65849034.0,65849122.0,335.5372745455468,Fordham Plaza,4.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880076,CS_A5-Weekday-SDon-081900_SBS44_916,6,65849139.0,65849235.0,317.7325794025022,,,,,
36880076,CS_A5-Weekday-SDon-093300_SBS44_958,7,65849253.0,65849353.0,275.0055825533957,,,,,
36880076,CS_A5-Weekday-SDon-104600_SBS44_958,8,65849366.0,65849460.0,234.27501031277495,,,,,
36880076,CS_A5-Weekday-SDon-115300_SBS44_954,9,65849473.0,65849551.0,191.54801346366844,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880076,CS_A5-Weekday-SDon-124900_SBS44_954,10,65849569.0,65849644.0,181.2433183206238,,,,,
36880077,CS_A5-Weekday-SDon-037800_SBS44_927,1,65848698.0,65848783.0,488.0779490366687,,,,,
36880077,CS_A5-Weekday-SDon-047700_SBS44_927,2,65848797.0,65848891.0,385.4253258327167,,,,,
36880077,CS_A5-Weekday-SDon-058600_SBS44_927,3,65848906.0,65848992.0,342.69832898361017,Fordham Plaza,6.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880077,CS_A5-Weekday-SDon-069100_SBS44_936,4,65849011.0,65849100.0,339.89363384056554,,,,,
36880077,CS_A5-Weekday-SDon-080000_SBS44_936,5,65849120.0,65849214.0,297.16663699145903,,,,,
36880077,CS_A5-Weekday-SDon-090800_SBS44_936,6,65849228.0,65849330.0,256.4360647508383,,,,,
36880077,CS_A5-Weekday-SDon-102900_SBS44_966,7,65849349.0,65849437.0,213.70906790173174,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880077,CS_A5-Weekday-SDon-113500_SBS44_966,8,65849455.0,65849539.0,203.40437275868712,,,,,
36880077,CS_A5-Weekday-SDon-123100_SBS44_976,9,65849551.0,65849622.0,160.6773759095806,Fordham Plaza,8.576833333333333,6.513999999999999,5.909166666666667,0.06398384089496582
36880077,CS_A5-Weekday-SDon-132300_SBS44_976,10,65849643.0,65849713.0,172.87268076653595,,,,,
36880078,CS_A5-Weekday-SDon-038400_SBS44_906,1,65848704.0,65848789.0,488.0779490366687,,,,,
36880078,CS_A5-Weekday-SDon-048300_SBS44_906,2,65848803.0,65848897.0,385.4253258327167,,,,,
36880078,CS_A5-Weekday-SDon-059400_SBS44_918,3,65848914.0,65849001.0,342.69832898361017,,,,,
36880078,CS_A5-Weekday-SDon-069900_SBS44_918,4,65849019.0,65849108.0,301.9677567429894,,,,,
36880078,CS_A5-Weekday-SDon-080700_SBS44_929,5,65849127.0,65849221.0,259.2407598938829,Fordham Plaza,8.576833333333333,6.513999999999999,5.909166666666667,0.06398384089496582
36880078,CS_A5-Weekday-SDon-092200_SBS44_929,6,65849242.0,65849344.0,271.4360647508383,,,,,
36880078,CS_A5-Weekday-SDon-104400_SBS44_947,7,65849364.0,65849452.0,228.70906790173177,,,,,
36880078,CS_A5-Weekday-SDon-114700_SBS44_947,8,65849467.0,65849550.0,187.978495661111,,,,,
36880079,CS_A5-Weekday-SDon-035200_SBS44_928,1,65848672.0,65848711.0,510.01288999378494,,,,,
36880079,CS_A5-Weekday-SDon-040500_SBS44_928,2,65848725.0,65848819.0,446.2959633868045,,,,,
36880079,CS_A5-Weekday-SDon-051500_SBS44_928,3,65848835.0,65848920.0,403.568966537698,Fordham Plaza,6.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880079,CS_A5-Weekday-SDon-061900_SBS44_928,4,65848939.0,65849028.0,400.7642713946534,,,,,
36880079,CS_A5-Weekday-SDon-073000_SBS44_926,5,65849050.0,65849138.0,358.0372745455469,,,,,
36880079,CS_A5-Weekday-SDon-083500_SBS44_926,6,65849155.0,65849251.0,317.3067023049261,,,,,
36880079,CS_A5-Weekday-SDon-094900_SBS44_959,7,65849269.0,65849369.0,274.5797054558196,,,,,
36880079,CS_A5-Weekday-SDon-106100_SBS44_959,8,65849381.0,65849475.0,233.8491332151988,,,,,
36880079,CS_A5-Weekday-SDon-116900_SBS44_955,9,65849489.0,65849567.0,191.1221363660923,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880079,CS_A5-Weekday-SDon-126500_SBS44_955,10,65849585.0,65849660.0,180.81744122304764,,,,,
36880080,CS_A5-Weekday-SDon-039000_SBS44_930,1,65848710.0,65848802.0,488.0779490366687,,,,,
36880080,CS_A5-Weekday-SDon-049100_SBS44_930,2,65848811.0,65848905.0,385.4253258327167,,,,,
36880080,CS_A5-Weekday-SDon-060200_SBS44_930,3,65848922.0,65849009.0,342.69832898361017,Fordham Plaza,5.576833333333354,6.513999999999999,5.909166666666667,0.06398384089496582
36880080,CS_A5-Weekday-SDon-070700_SBS44_921,4,65849027.0,65849116.0,332.3936338405657,,,,,
36880080,CS_A5-Weekday-SDon-081400_SBS44_949,5,65849134.0,65849231.0,289.6666369914592,Fordham Plaza,5.576833333333369,6.513999999999999,5.909166666666667,0.06398384089496582
36880080,CS_A5-Weekday-SDon-092900_SBS44_949,6,65849249.0,65849351.0,279.3619418484148,,,,,
36880080,CS_A5-Weekday-SDon-105100_SBS44_968,7,65849371.0,65849458.0,236.6349449993083,Fordham Plaza,1.7792197701972325,6.513999999999999,5.909166666666667,0.06398384089496582
36880080,CS_A5-Weekday-SDon-115300_SBS44_968,8,65849473.0,65849556.0,197.8481481327429,,,,,
36880080,CS_A5-Weekday-SDon-125100_SBS44_962,9,65849571.0,65849642.0,155.12115128363638,Fordham Plaza,8.576833333333333,6.513999999999999,5.909166666666667,0.06398384089496582
36880080,CS_A5-Weekday-SDon-134300_SBS44_962,10,65849663.0,65849733.0,167.31645614059175,,,,,
36880082,CS_A5-Weekday-SDon-039600_SBS44_931,1,65848716.0,65848808.0,488.0779490366687,,,,,
36880082,CS_A5-Weekday-SDon-049900_SBS44_931,2,65848819.0,65848913.0,385.4253258327167,,,,,
36880082,CS_A5-Weekday-SDon-061000_SBS44_931,3,65848930.0,65849017.0,342.69832898361017,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880082,CS_A5-Weekday-SDon-071500_SBS44_924,4,65849035.0,65849124.0,332.3936338405656,,,,,
36880082,CS_A5-Weekday-SDon-082100_SBS44_925,5,65849141.0,65849238.0,289.6666369914591,Fordham Plaza,5.576833333333334,6.513999999999999,5.909166666666667,0.06398384089496582
36880082,CS_A5-Weekday-SDon-093600_SBS44_925,6,65849256.0,65849358.0,279.3619418484144,,,,,
36880082,CS_A5-Weekday-SDon-105700_SBS44_948,7,65849377.0,65849464.0,236.6349449993079,,,,,
36880082,CS_A5-Weekday-SDon-115900_SBS44_948,8,65849479.0,65849562.0,195.90437275868712,,,,,
36880083,CS_A5-Weekday-SDon-040200_SBS44_932,1,65848722.0,65848814.0,488.0779490366687,,,,,
36880083,CS_A5-Weekday-SDon-050700_SBS44_932,2,65848827.0,65848921.0,385.4253258327167,,,,,
