block_id,trip_id,trip_idx,start_time,end_time,soc,chg_site,chg_time,dh1,dh2,dh3
36441963,OH_A5-Weekday-SDon-002100_M101_3,1,65848341.0,65848365.0,440.97063393412054,,,,,
36441963,OH_A5-Weekday-SDon-006300_M101_3,2,65848383.0,65848442.0,417.12234634157517,,,,,
36441963,OH_A5-Weekday-SDon-013000_M101_3,3,65848450.0,65848515.0,384.57893163143194,,,,,
36441963,OH_A5-Weekday-SDon-021300_M101_3,4,65848533.0,65848588.0,351.80312992250543,207th Street Station,7.147869773106692,3.2613333333333334,2.370833333333333,0.004655065257924177
36441963,OH_A5-Weekday-SDon-031500_M101_3,5,65848635.0,65848712.0,366.2590989830054,,,,,
36441963,OH_A5-Weekday-SDon-040800_M101_3,6,65848728.0,65848830.0,333.48329727407895,,,,,
36441963,OH_A5-Weekday-SDon-053000_M101_62,7,65848850.0,65848968.0,300.93988256393567,,,,,
36441963,OH_A5-Weekday-SDon-067500_M101_62,8,65848995.0,65849111.0,268.1640868802852,,,,,
36441963,OH_A5-Weekday-SDon-081200_M101_60,9,65849132.0,65849256.0,235.62067546501243,,,,,
36441963,OH_A5-Weekday-SDon-095200_M101_60,10,65849272.0,65849394.0,202.84487978136195,,,,,
36441963,OH_A5-Weekday-SDon-109800_M101_149,11,65849418.0,65849514.0,170.30146836608918,,,,,
36441963,OH_A5-Weekday-SDon-122000_M101_149,12,65849540.0,65849636.0,137.5256726824387,,,,,
36441963,OH_A5-Weekday-SDon-133200_M101_147,13,65849652.0,65849742.0,104.98226126716595,,,,,
36441963,OH_A5-Weekday-SDon-143500_M101_147,14,65849755.0,65849820.0,72.20645955823947,,,,,
36441963,OH_A5-Weekday-SDon-152000_M101_147,15,65849840.0,65849883.0,39.66304484809623,,,,,
36457683,UP_A5-Weekday-SDon-046400_X2838_828,1,65848784.0,65848873.0,373.302249844624,,,,,
36457683,UP_A5-Weekday-SDon-056300_X2838_828,2,65848883.0,65848964.0,266.1644563537596,,,,,
36457683,UP_A5-Weekday-SDon-065500_B36_409,3,65848975.0,65849052.0,233.5891001543261,,,,,
36457683,UP_A5-Weekday-SDon-074600_B36_409,4,65849066.0,65849154.0,203.14905681883772,Coney IslandStillwell Avenue Terminal,7.9291798987835485,4.060666666666666,4.3646666666666665,0.10277190801740212
36457683,UP_A5-Weekday-SDon-085100_B6_249,5,65849171.0,65849253.0,220.8389637819713,,,,,
36457683,UP_A5-Weekday-SDon-094400_B6_249,6,65849264.0,65849308.0,197.02548379185612,,,,,
36457683,UP_A5-Weekday-SDon-101000_B6_249,7,65849330.0,65849382.0,182.4048464920528,,,,,
36457683,UP_A5-Weekday-SDon-107600_B6_249,8,65849396.0,65849465.0,167.89498985123777,,,,,
36458124,UP_A5-Weekday-SDon-066200_B6_216,1,65848982.0,65849059.0,373.302249844624,,,,,
36458124,UP_A5-Weekday-SDon-075400_B6_216,2,65849074.0,65849162.0,266.1644563537596,Coney IslandStillwell Avenue Terminal,4.57466666666669,4.060666666666666,4.3646666666666665,0.10277190801740212
36458124,UP_A5-Weekday-SDon-085500_B6_254,3,65849175.0,65849266.0,258.69551407601676,,,,,
36458124,UP_A5-Weekday-SDon-095500_B6_254,4,65849275.0,65849372.0,228.25547074052838,Coney IslandStillwell Avenue Terminal,2.5746666666666673,4.060666666666666,4.3646666666666665,0.10277190801740212
36458124,UP_A5-Weekday-SDon-106300_B36_417,5,65849383.0,65849471.0,205.78652846278538,,,,,
36458124,UP_A5-Weekday-SDon-116400_B36_417,6,65849484.0,65849567.0,175.346485127297,,,,,
36461353,EN_A5-Weekday-SDon-032700_SBS82_904,1,65848647.0,65848698.0,370.94477936606586,,,,,
36461353,EN_A5-Weekday-SDon-038800_SBS82_904,2,65848708.0,65848755.0,264.6962620104623,,,,,
36461353,EN_A5-Weekday-SDon-044700_SBS82_904,3,65848767.0,65848826.0,237.2263758909686,Coney IslandStillwell Avenue Terminal,7.167833333333334,4.356333333333334,4.475833333333333,0.05821006836544437
36461353,EN_A5-Weekday-SDon-052200_SBS82_904,4,65848842.0,65848899.0,253.94867814381752,,,,,
36461353,EN_A5-Weekday-SDon-059000_SBS82_904,5,65848910.0,65848974.0,226.47879202432384,,,,,
36461353,EN_A5-Weekday-SDon-066400_SBS82_901,6,65848984.0,65849044.0,199.28549530265443,,,,,
36461358,EN_A5-Weekday-SDon-038300_SBS82_911,1,65848703.0,65848756.0,370.94477936606586,Coney IslandStillwell Avenue Terminal,5.1678333333333555,4.356333333333334,4.475833333333333,0.05821006836544437
36461358,EN_A5-Weekday-SDon-045000_SBS82_911,2,65848770.0,65848825.0,293.6118609849808,,,,,
36461358,EN_A5-Weekday-SDon-051800_SBS82_911,3,65848838.0,65848899.0,266.1419748654871,Coney IslandStillwell Avenue Terminal,2.104743718607351,4.356333333333334,4.475833333333333,0.05821006836544437
36461358,EN_A5-Weekday-SDon-059200_SBS82_911,4,65848912.0,65848967.0,244.89110500789116,,,,,
36461358,EN_A5-Weekday-SDon-066200_SBS82_911,5,65848982.0,65849048.0,217.42121888839745,,,,,
36461358,EN_A5-Weekday-SDon-073600_SBS82_905,6,65849056.0,65849116.0,190.22792216672804,,,,,
36461364,EN_A5-Weekday-SDon-034100_SBS82_905,1,65848661.0,65848712.0,370.94477936606586,,,,,
36461364,EN_A5-Weekday-SDon-040000_SBS82_905,2,65848720.0,65848775.0,264.6962620104623,,,,,
36461364,EN_A5-Weekday-SDon-047000_SBS82_905,3,65848790.0,65848850.0,237.2263758909686,Coney IslandStillwell Avenue Terminal,5.960156915209762,4.356333333333334,4.475833333333333,0.05821006836544437
36461364,EN_A5-Weekday-SDon-054600_SBS82_905,4,65848866.0,65848921.0,244.89110500789073,,,,,
36461364,EN_A5-Weekday-SDon-061400_SBS82_905,5,65848934.0,65849000.0,217.42121888839702,,,,,
36461364,EN_A5-Weekday-SDon-068800_SBS82_902,6,65849008.0,65849068.0,190.2279221667276,,,,,
36461366,EN_A5-Weekday-SDon-036500_SBS82_908,1,65848685.0,65848738.0,370.94477936606586,,,,,
36461366,EN_A5-Weekday-SDon-042800_SBS82_908,2,65848748.0,65848803.0,264.6962620104623,,,,,
36461366,EN_A5-Weekday-SDon-049400_SBS82_908,3,65848814.0,65848875.0,237.2263758909686,Coney IslandStillwell Avenue Terminal,6.167833333333333,4.356333333333334,4.475833333333333,0.05821006836544437
36461366,EN_A5-Weekday-SDon-057000_SBS82_908,4,65848890.0,65848945.0,246.44867814381752,,,,,
36461366,EN_A5-Weekday-SDon-063800_SBS82_908,5,65848958.0,65849024.0,218.9787920243238,,,,,
36461366,EN_A5-Weekday-SDon-071200_SBS82_904,6,65849032.0,65849092.0,191.7854953026544,,,,,
36461368,EN_A5-Weekday-SDon-097400_SBS82_917,1,65849294.0,65849369.0,370.94477936606586,,,,,
36461368,EN_A5-Weekday-SDon-105900_SBS82_917,2,65849379.0,65849438.0,264.6962620104623,,,,,
36461368,EN_A5-Weekday-SDon-113200_SBS82_917,3,65849452.0,65849519.0,237.2263758909686,,,,,
36461368,EN_A5-Weekday-SDon-121000_SBS82_933,4,65849530.0,65849584.0,210.03307916929919,,,,,
36461368,EN_A5-Weekday-SDon-127500_SBS82_933,5,65849595.0,65849645.0,182.56319304980548,Coney IslandStillwell Avenue Terminal,6.167833333333333,4.356333333333334,4.475833333333333,0.05821006836544437
36461368,EN_A5-Weekday-SDon-134000_SBS82_933,6,65849660.0,65849711.0,191.7854953026544,,,,,
36461371,EN_A5-Weekday-SDon-081600_SBS82_928,1,65849136.0,65849202.0,370.94477936606586,,,,,
36461371,EN_A5-Weekday-SDon-089200_SBS82_928,2,65849212.0,65849274.0,264.6962620104623,,,,,
36461371,EN_A5-Weekday-SDon-096700_SBS82_928,3,65849287.0,65849353.0,237.2263758909686,Coney IslandStillwell Avenue Terminal,9.167833333333334,4.356333333333334,4.475833333333333,0.05821006836544437
36461371,EN_A5-Weekday-SDon-105100_SBS82_925,4,65849371.0,65849430.0,268.9486781438175,,,,,
36461371,EN_A5-Weekday-SDon-112200_SBS82_925,5,65849442.0,65849513.0,241.4787920243238,,,,,
36461371,EN_A5-Weekday-SDon-120000_SBS82_925,6,65849520.0,65849574.0,214.2854953026544,,,,,
36461374,EN_A5-Weekday-SDon-087900_SBS82_907,1,65849199.0,65849265.0,370.94477936606586,Coney IslandStillwell Avenue Terminal,5.960156915209808,4.356333333333334,4.475833333333333,0.05821006836544437
36461374,EN_A5-Weekday-SDon-096000_SBS82_907,2,65849280.0,65849342.0,299.5542878490542,,,,,
36461374,EN_A5-Weekday-SDon-103400_SBS82_907,3,65849354.0,65849426.0,272.0844017295605,,,,,
36461374,EN_A5-Weekday-SDon-111900_SBS82_930,4,65849439.0,65849493.0,244.8911050078911,,,,,
36461374,EN_A5-Weekday-SDon-118500_SBS82_930,5,65849505.0,65849569.0,217.42121888839742,,,,,
36461374,EN_A5-Weekday-SDon-125800_SBS82_930,6,65849578.0,65849632.0,190.227922166728,,,,,
36461375,EN_A5-Weekday-SDon-090300_SBS82_911,1,65849223.0,65849289.0,370.94477936606586,Coney IslandStillwell Avenue Terminal,9.167833333333363,4.356333333333334,4.475833333333333,0.05821006836544437
36461375,EN_A5-Weekday-SDon-098700_SBS82_911,2,65849307.0,65849369.0,323.61186098498086,,,,,
36461375,EN_A5-Weekday-SDon-106200_SBS82_911,3,65849382.0,65849453.0,296.14197486548716,,,,,
36461375,EN_A5-Weekday-SDon-114400_SBS82_931,4,65849464.0,65849518.0,268.94867814381774,,,,,
36461375,EN_A5-Weekday-SDon-121500_SBS82_931,5,65849535.0,65849591.0,241.47879202432404,,,,,
36461375,EN_A5-Weekday-SDon-128200_SBS82_931,6,65849602.0,65849653.0,214.28549530265462,,,,,
36461376,EN_A5-Weekday-SDon-095100_SBS82_920,1,65849271.0,65849337.0,370.94477936606586,,,,,
36461376,EN_A5-Weekday-SDon-103600_SBS82_920,2,65849356.0,65849418.0,264.6962620104623,,,,,
